Well,Omit,sample_id_old,Target,Dye,Task,Cq,Quantity,plate_id,study,template_vol,elution_vol,,,,,,,,,,,
B9,FALSE,AR_2_27,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B10,FALSE,AR_2_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B11,FALSE,AR_2_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B12,FALSE,AR_2_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C1,FALSE,10,Ps,FAM,Standard,35.29198808,10,Ps_samples_2,,1,100,,,,,,,,,,,
C2,FALSE,10,Ps,FAM,Standard,Undetermined,10,Ps_samples_2,,1,100,,,,,,,,,,,
C3,FALSE,10,Ps,FAM,Standard,Undetermined,10,Ps_samples_2,,1,100,,,,,,,,,,,
C4,FALSE,AR_3_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C5,FALSE,AR_3_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C6,FALSE,AR_3_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C7,FALSE,AR_3_27,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C8,FALSE,AR_3_27,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C9,FALSE,AR_3_27,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C10,FALSE,AR_3_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C11,FALSE,AR_3_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
C12,FALSE,AR_3_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
D1,FALSE,1.00E+02,Ps,FAM,Standard,32.47381149,100,Ps_samples_2,,1,100,,,,,,,,,,,
D2,FALSE,1.00E+02,Ps,FAM,Standard,32.14006914,100,Ps_samples_2,,1,100,,,,,,,,,,,
D3,FALSE,1.00E+02,Ps,FAM,Standard,31.83577615,100,Ps_samples_2,,1,100,,,,,,,,,,,
D4,FALSE,AR_4_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
D5,FALSE,AR_4_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
D6,FALSE,AR_4_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
